CrimeYear,Crime Code,Description,Weapon,District,Neighbourhood,Longitude,Latitude,Impact,Intensity
2012,6,Larceny,Other,NORTHEASTERN,Armistead Gardens,-76.54705,39.30542,0.25,192
2013,6,Larceny,Other,NORTHEASTERN,Armistead Gardens,-76.54705,39.30542,0.265,147
2014,6,Larceny,Other,NORTHEASTERN,Armistead Gardens,-76.54705,39.30542,0.25,112
2015,6,Larceny,Other,NORTHEASTERN,Armistead Gardens,-76.54705,39.30542,0.35,122
2016,5A,Burglary,Other,NORTHEASTERN,Armistead Gardens,-76.54705,39.30542,0.235,159
2017,5A,Burglary,Other,NORTHEASTERN,Armistead Gardens,-76.54705,39.30542,0.205,124
2012,6,Larceny,Other,SOUTHEASTERN,Baltimore Highlands,-76.56751,39.2925,0.211,321
2013,6,Larceny,Other,SOUTHEASTERN,Baltimore Highlands,-76.56751,39.2925,0.342,377
2014,6,Larceny,Other,SOUTHEASTERN,Baltimore Highlands,-76.56751,39.2925,0.302,347
2015,6,Larceny,Other,SOUTHEASTERN,Baltimore Highlands,-76.56751,39.2925,0.3502,407
2016,6,Larceny,Other,SOUTHEASTERN,Baltimore Highlands,-76.56751,39.2925,0.226,356
2017,4,Common Assault,FIRE ARM,SOUTHEASTERN,Baltimore Highlands,-76.56751,39.2925,0.1906,299
2012,6,Larceny,Other,NORTHEASTERN,Belair-Edison,-76.56761,39.32149,0.215,993
2013,6,Larceny,Other,NORTHEASTERN,Belair-Edison,-76.56761,39.32149,0.306,1072
2014,6,Larceny,Other,NORTHEASTERN,Belair-Edison,-76.56761,39.32149,0.286,1079
2015,6,Larceny,Other,NORTHEASTERN,Belair-Edison,-76.56761,39.32149,0.256,1009
2016,6,Larceny,Other,NORTHEASTERN,Belair-Edison,-76.56761,39.32149,0.207,1027
2017,6,Larceny,Other,NORTHEASTERN,Belair-Edison,-76.56761,39.32149,0.206,802
2012,6D,Larceny from Auto,Other,NORTHEASTERN,Belvedere,-76.60937,39.36413,0.3,494
2013,6,Larceny,Other,NORTHEASTERN,Belvedere,-76.60937,39.36413,0.36,50
2014,5A,Burglary,HANDS,NORTHEASTERN,Belvedere,-76.60937,39.36413,0.326,55
2015,5A,Burglary,HANDS,NORTHEASTERN,Belvedere,-76.60937,39.36413,0.4,80
2016,6,Larceny,Other,NORTHEASTERN,Belvedere,-76.60937,39.36413,0.337,56
