Neighbourhood,Intenisty,CrimeYear,,,
Allendale/Irvington/S. Hilton,461,2012,,,
Beechfield/Ten Hills/West Hills,286,2012,,,
Belair-Edison,993,2012,,,
Brooklyn/Curtis Bay/Hawkins Point,800,2012,,,
Canton,760,2012,,,
Cedonia/Frankford,552,2012,,,
Cherry Hill,794,2012,,,
Chinquapin Park/Belvedere,849,2012,,,
Claremont/Armistead,382,2012,,,
Clifton-Berea,364,2012,,,
Cross-Country/Cheswolde,461,2012,,,
Dickeyville/Franklintown,357,2012,,,
Dorchester/Ashburton,175,2012,,,
Downtown/Seton Hill,2157,2012,,,
Edmondson Village,105,2012,,,
Fells Point,127,2012,,,
Forest Park/Walbrook,295,2012,,,
Glen-Fallstaff,317,2012,,,
Greater Charles Village/Barclay,450,2012,,,
Greater Govans,552,2012,,,
Greater Mondawmin,390,2012,,,
Greater Roland Park/Poplar Hill,429,2012,,,
Greater Rosemont,70,2012,,,
Hamilton,552,2012,,,
Harford/Echodale,817,2012,,,
Highlandtown,140,2012,,,
Howard Park/West Arlington,395,2012,,,
Inner Harbor/Federal Hill,909,2012,,,
Lauraville,188,2012,,,
Loch Raven,318,2012,,,
Madison/East End,384,2012,,,
Medfield/Hampden/Woodberry/Remington,1013,2012,,,
Midway/Coldstream,125,2012,,,
Morrell Park/Violetville,407,2012,,,
Mount Washington/Coldspring,244,2012,,,
North Baltimore/Guilford/Homeland,637,2012,,,
Northwood,250,2012,,,
Orangeville/East Highlandtown,158,2012,,,
Patterson Park North & East,243,2012,,,
Penn North/Reservoir Hill,761,2012,,,
Pimlico/Arlington/Hilltop,558,2012,,,
Poppleton/The Terraces/Hollins Market,472,2012,,,
Sandtown-Winchester/Harlem Park,805,2012,,,
South Baltimore,214,2012,,,
Southeastern,103,2012,,,
Southern Park Heights,217,2012,,,
Southwest Baltimore,321,2012,,,
The Waverlies,59,2012,,,
Washington Village/Pigtown,418,2012,,,
Westport/Mount Winans/Lakeland,404,2012,,,
Unassigned -- Jail,129,2012,,,
Oldtown/Middle East,439,2012,,,
"Harbor East/Little Italy
",383,2012,,,
Upton/Druid Heights,894,2012,,,
Midtown,467,2012,,,
Greenmount East,76,2012,,,
Allendale/Irvington/S. Hilton,461,2013,,,
Beechfield/Ten Hills/West Hills,243,2013,,,
Belair-Edison,1072,2013,,,
Brooklyn/Curtis Bay/Hawkins Point,879,2013,,,
Canton,765,2013,,,
Cedonia/Frankford,627,2013,,,
Cherry Hill,684,2013,,,
Chinquapin Park/Belvedere,475,2013,,,
Claremont/Armistead,352,2013,,,
Clifton-Berea,375,2013,,,
Cross-Country/Cheswolde,485,2013,,,
Dickeyville/Franklintown,315,2013,,,
Dorchester/Ashburton,185,2013,,,
Downtown/Seton Hill,1807,2013,,,
Edmondson Village,110,2013,,,
Fells Point,892,2013,,,
Forest Park/Walbrook,350,2013,,,
Glen-Fallstaff,400,2013,,,
Greater Charles Village/Barclay,456,2013,,,
Greater Govans,640,2013,,,
Greater Mondawmin,240,2013,,,
Greater Roland Park/Poplar Hill,507,2013,,,
Greater Rosemont,73,2013,,,
Hamilton,631,2013,,,
Harford/Echodale,840,2013,,,
Highlandtown,193,2013,,,
Howard Park/West Arlington,450,2013,,,
Inner Harbor/Federal Hill,651,2013,,,
Lauraville,197,2013,,,
Loch Raven,296,2013,,,
Madison/East End,381,2013,,,
Medfield/Hampden/Woodberry/Remington,1041,2013,,,
Midway/Coldstream,139,2013,,,
Morrell Park/Violetville,487,2013,,,
Mount Washington/Coldspring,239,2013,,,
North Baltimore/Guilford/Homeland,693,2013,,,
Northwood,205,2013,,,
Orangeville/East Highlandtown,176,2013,,,
Patterson Park North & East,280,2013,,,
Penn North/Reservoir Hill,691,2013,,,
Pimlico/Arlington/Hilltop,546,2013,,,
Poppleton/The Terraces/Hollins Market,601,2013,,,
Sandtown-Winchester/Harlem Park,795,2013,,,
South Baltimore,175,2013,,,
Southeastern,108,2013,,,
Southern Park Heights,251,2013,,,
Southwest Baltimore,377,2013,,,
The Waverlies,58,2013,,,
Washington Village/Pigtown,493,2013,,,
Westport/Mount Winans/Lakeland,435,2013,,,
Unassigned -- Jail,109,2013,,,
Oldtown/Middle East,449,2013,,,
"Harbor East/Little Italy
",339,2013,,,
Upton/Druid Heights,702,2013,,,
Midtown,445,2013,,,
Greenmount East,89,2013,,,
Allendale/Irvington/S. Hilton,527,2014,,,
Beechfield/Ten Hills/West Hills,289,2014,,,
Belair-Edison,1079,2014,,,
Brooklyn/Curtis Bay/Hawkins Point,1209,2014,,,
Canton,617,2014,,,
Cedonia/Frankford,696,2014,,,
Cherry Hill,590,2014,,,
Chinquapin Park/Belvedere,420,2014,,,
Claremont/Armistead,321,2014,,,
Clifton-Berea,313,2014,,,
Cross-Country/Cheswolde,420,2014,,,
Dickeyville/Franklintown,326,2014,,,
Dorchester/Ashburton,234,2014,,,
Downtown/Seton Hill,1511,2014,,,
Edmondson Village,124,2014,,,
Fells Point,85,2014,,,
Forest Park/Walbrook,197,2014,,,
Glen-Fallstaff,357,2014,,,
Greater Charles Village/Barclay,392,2014,,,
Greater Govans,400,2014,,,
Greater Mondawmin,222,2014,,,
Greater Roland Park/Poplar Hill,441,2014,,,
