Neighbourhood,Intenisty,CrimeYear
Allendale/Irvington/S. Hilton,461,2012
Allendale/Irvington/S. Hilton,461,2013
Allendale/Irvington/S. Hilton,527,2014
Allendale/Irvington/S. Hilton,549,2015
Allendale/Irvington/S. Hilton,440,2016
Allendale/Irvington/S. Hilton,331,2017
Beechfield/Ten Hills/West Hills,286,2012
Beechfield/Ten Hills/West Hills,243,2013
Beechfield/Ten Hills/West Hills,289,2014
Beechfield/Ten Hills/West Hills,237,2015
Beechfield/Ten Hills/West Hills,267,2016
Beechfield/Ten Hills/West Hills,241,2017
Belair-Edison,993,2012
Belair-Edison,1072,2013
Belair-Edison,1079,2014
Belair-Edison,1009,2015
Belair-Edison,1027,2016
Belair-Edison,802,2017
Brooklyn/Curtis Bay/Hawkins Point,800,2012
Brooklyn/Curtis Bay/Hawkins Point,879,2013
Brooklyn/Curtis Bay/Hawkins Point,1209,2014
Brooklyn/Curtis Bay/Hawkins Point,1342,2015
Brooklyn/Curtis Bay/Hawkins Point,1562,2016
Brooklyn/Curtis Bay/Hawkins Point,1102,2017
Canton,760,2012
Canton,765,2013
Canton,617,2014
Canton,654,2015
Canton,587,2016
Canton,404,2017
Cedonia/Frankford,552,2012
Cedonia/Frankford,627,2013
Cedonia/Frankford,696,2014
Cedonia/Frankford,643,2015
Cedonia/Frankford,993,2016
Cedonia/Frankford,985,2017
Cherry Hill,794,2012
Cherry Hill,684,2013
Cherry Hill,590,2014
Cherry Hill,620,2015
Cherry Hill,847,2016
Cherry Hill,551,2017
Chinquapin Park/Belvedere,849,2012
Chinquapin Park/Belvedere,475,2013
Chinquapin Park/Belvedere,420,2014
Chinquapin Park/Belvedere,422,2015
Chinquapin Park/Belvedere,371,2016
Chinquapin Park/Belvedere,287,2017
Claremont/Armistead,382,2012
Claremont/Armistead,352,2013
Claremont/Armistead,321,2014
Claremont/Armistead,333,2015
Claremont/Armistead,335,2016
Claremont/Armistead,304,2017
Clifton-Berea,364,2012
Clifton-Berea,375,2013
Clifton-Berea,313,2014
Clifton-Berea,357,2015
Clifton-Berea,371,2016
Clifton-Berea,267,2017
